10000 40000
0 1501 54
0 4977 126
0 6357 40
0 6604 126
0 6769 110
0 7528 16
1 1017 214
1 5041 185
1 6760 207
1 7821 109
1 8763 34
1 9429 29
2 3545 209
2 3898 205
2 5568 222
2 8192 204
3 151 68
3 1945 181
3 2102 65
3 9345 168
4 240 254
4 2648 230
4 3331 26
4 5931 206
4 9743 247
5 1049 52
5 2888 244
5 4912 85
5 4971 168
5 5472 207
5 5483 101
5 7155 213
5 7525 145
5 7961 293
5 9951 89
6 305 214
6 759 85
6 1615 212
6 2420 267
6 2919 73
6 3268 22
6 3612 250
6 3621 200
6 3722 115
6 5597 132
6 8043 50
7 2973 224
7 8217 126
7 9363 4
8 1917 97
8 4739 249
8 5212 151
8 5366 140
8 5974 223
8 9869 206
9 2206 125
9 2422 74
9 6830 118
9 9409 99
10 3843 127
10 6125 91
10 8304 130
10 9184 69
10 9548 177
11 465 297
11 1646 143
11 2885 231
11 4533 214
11 7588 244
11 7595 124
11 9274 285
12 359 135
12 9627 228
13 2571 132
13 5374 257
14 2768 44
14 3060 78
14 5478 44
14 8643 7
14 9257 239
14 9332 4
15 488 20
15 2691 92
15 2726 149
15 4016 257
16 3449 27
16 5557 131
16 6728 110
16 8611 84
17 357 287
17 402 69
17 2643 224
17 3778 223
17 3945 76
17 9307 76
18 338 202
18 5049 159
18 7104 171
18 7334 180
19 629 51
19 2214 90
19 4996 172
19 5148 22
19 5910 114
19 9599 183
20 116 88
20 272 18
20 1198 115
20 6025 34
20 9515 259
20 9936 165
21 425 147
21 1101 14
21 2295 149
21 2774 148
21 7692 7
21 8694 100
21 9853 271
22 597 2
22 1820 264
22 3992 132
22 4142 165
22 7424 93
22 7711 32
22 9180 249
22 9848 0
23 987 110
23 3577 88
23 8180 231
23 8730 63
23 9215 251
24 177 280
24 868 147
24 993 51
24 3320 281
24 6154 110
25 1877 109
25 2028 45
25 3310 70
25 5832 33
26 758 38
26 2429 127
26 9874 175
26 9965 243
27 4163 213
27 4704 280
27 8148 193
28 910 164
28 1165 215
28 1543 147
28 2543 133
28 3388 138
28 3937 231
28 4719 26
28 4831 47
28 6661 175
28 8342 283
28 8659 256
28 9597 54
29 346 62
29 2817 85
29 3996 167
29 6461 192
29 9225 189
30 1754 238
30 2477 209
30 2845 238
30 5756 265
30 7500 139
31 5652 116
31 6259 113
31 8066 29
31 8566 12
31 9257 260
32 5887 147
33 2681 12
33 5456 138
33 5910 200
33 9013 273
35 2137 131
35 3179 154
35 5723 2
35 9108 84
36 192 38
36 600 166
36 3147 46
36 8451 289
37 1950 207
37 2192 227
37 2224 168
37 2859 23
37 4926 89
37 6535 41
38 265 11
38 1388 155
38 1603 278
38 1857 3
38 2990 73
38 5184 198
38 7172 50
38 7340 131
39 1194 131
39 1539 5
39 5022 176
39 5248 275
39 5932 152
39 5986 210
39 6163 100
39 8380 245
40 588 146
40 6488 185
40 8637 22
40 9313 275
41 1516 166
41 1924 167
41 3400 246
41 5937 265
41 6461 25
41 8125 234
41 8467 34
41 9764 285
42 4952 144
42 6591 93
42 8317 145
42 8775 193
43 3988 10
43 6618 46
43 8396 30
43 9676 204
45 4617 150
45 4716 128
45 5188 73
45 7681 290
46 1188 282
46 2413 69
46 5006 211
46 6386 129
46 7376 70
46 9274 122
47 990 240
47 1819 210
47 5468 50
47 6216 14
47 6642 53
47 7081 149
47 8934 271
47 9672 231
48 62 54
48 125 142
48 709 296
48 1051 70
48 1655 7
48 2469 130
48 8081 157
49 475 13
49 4146 253
49 7549 186
49 7846 198
50 570 179
50 797 102
50 4642 54
50 7729 194
50 9304 12
51 4030 121
51 8894 93
52 2242 50
52 4027 205
52 4694 255
52 6177 273
52 9370 157
53 6002 231
54 941 192
54 2737 97
54 3285 285
54 7845 51
54 8227 76
54 8793 252
54 9446 162
55 5542 195
55 6164 76
55 7106 230
56 2703 281
56 3110 268
56 7415 42
56 8684 41
56 8998 253
56 9115 7
56 9150 16
57 1473 53
57 2420 237
57 6578 231
58 76 147
58 1652 144
59 903 27
59 3830 281
59 6661 256
59 9453 133
60 194 88
60 1114 210
60 9973 48
61 1028 164
61 1741 69
61 4272 131
61 5304 61
61 9332 197
61 9948 155
62 352 215
62 865 242
62 2015 24
62 9340 219
63 5451 1
63 6442 122
64 4508 294
64 5161 107
65 26 271
65 229 291
65 976 275
65 1341 33
65 3775 233
65 4705 227
65 6075 76
65 9264 241
66 203 155
66 782 82
66 2861 104
66 3089 175
66 4333 91
66 9031 157
67 1836 294
67 2848 175
67 8995 39
68 1622 33
68 3589 275
69 1068 251
70 747 26
70 926 139
70 2510 4
70 2698 269
70 7351 72
70 8281 293
71 658 22
71 1017 204
71 2549 106
71 6651 131
71 6803 169
71 7113 168
72 1021 23
72 1163 277
72 2818 10
72 9317 158
73 278 226
73 2019 21
73 5591 42
73 7504 162
74 41 19
75 3531 17
75 4829 197
75 6071 190
76 1826 237
76 2431 74
76 3382 28
76 5772 244
76 6855 74
77 1591 285
77 3705 218
77 6380 73
77 9559 59
78 1274 10
78 1724 181
78 4583 127
78 4890 117
78 6584 56
79 2060 25
79 2973 69
79 4478 249
79 5630 291
79 7466 289
79 7788 81
80 1512 72
80 2870 146
80 5227 154
80 5855 58
80 7153 141
80 8544 166
81 719 296
81 2621 35
81 6253 170
81 8570 146
82 3142 166
82 4852 185
82 6692 208
83 692 32
83 4300 156
83 7303 286
84 114 255
84 2868 272
84 8572 173
85 1079 127
85 1085 27
85 8946 297
85 9021 192
85 9044 223
86 357 15
86 716 292
86 993 258
87 2985 52
87 4781 143
88 1269 77
88 2771 148
88 6159 103
89 2696 26
89 3301 11
89 5065 238
89 5620 90
89 6943 121
89 7050 38
89 9668 280
90 358 296
90 1164 297
90 1330 281
90 1441 155
90 1443 177
90 2960 126
90 4348 1
90 4755 91
90 4947 85
90 4976 190
90 5502 178
90 6243 213
90 8616 299
91 1056 10
91 2240 150
91 5701 193
91 8658 203
91 9651 87
92 1933 167
92 4386 48
92 8027 181
92 8557 273
92 8884 42
93 439 67
93 690 119
93 1731 147
93 3936 246
93 6094 138
93 6565 136
93 9931 189
94 796 291
94 2015 48
94 3112 157
94 4532 296
94 6046 198
94 6762 22
94 9436 75
94 9600 29
95 2076 282
95 2911 269
95 9510 85
96 313 0
96 2198 182
96 2910 282
96 6907 146
96 7815 185
97 783 118
97 856 37
97 3083 115
97 4835 112
97 8193 11
97 9279 174
98 3258 242
98 3327 9
98 4436 174
98 5496 254
98 7619 113
98 9335 52
98 9755 216
99 2078 216
99 3044 295
99 3654 247
99 5042 55
99 6846 191
100 462 283
100 2493 220
100 6517 4
101 185 284
101 4360 209
101 4495 1
101 5113 69
101 6010 49
101 8171 105
101 9612 172
102 1560 160
102 2227 255
102 3302 180
102 4286 268
102 7389 230
102 8602 94
102 9375 64
103 63 47
103 5661 161
103 6814 131
104 2373 43
104 3677 251
104 6115 228
104 6145 130
104 6340 296
105 443 297
105 4662 201
105 5299 272
105 5401 65
106 328 42
106 664 236
106 712 0
106 4760 290
106 5271 103
106 7750 141
107 829 43
107 4716 234
107 5722 146
108 1202 290
108 3838 84
108 6435 142
108 7161 55
108 7381 297
109 1101 112
109 2100 205
109 2480 137
109 4575 94
109 6672 215
109 7090 55
109 7872 151
109 9224 236
109 9780 153
110 290 237
110 1422 177
110 1618 20
110 3255 249
110 4178 197
110 4333 206
110 6324 85
110 8315 81
111 275 198
111 397 48
111 2099 189
111 2620 25
111 2916 12
111 7602 222
112 1240 153
112 2661 57
112 2717 96
112 5341 35
112 8592 58
112 8927 282
112 8940 235
113 144 88
113 540 122
113 5907 279
114 2841 157
115 41 298
115 140 27
115 601 45
115 2243 77
115 7730 49
115 8245 217
115 8512 275
115 9376 60
116 250 167
116 1293 190
116 1495 232
116 2687 142
116 3839 40
116 4991 216
117 296 149
117 751 69
117 3844 84
117 4561 160
117 6449 170
117 8392 12
117 8519 209
118 938 176
118 2495 85
118 3267 77
118 3742 256
118 4243 88
118 4658 252
118 7684 53
118 9320 79
118 9841 71
119 935 246
119 3017 213
119 5779 284
119 6532 124
119 8228 241
120 4811 48
120 4912 97
120 6425 247
120 7866 9
121 39 139
121 3975 163
121 5733 213
121 7782 82
121 8448 149
122 29 163
122 5022 212
122 6215 213
122 7281 43
122 7294 123
123 1443 231
123 5643 178
124 457 143
124 984 5
124 2259 278
124 3595 237
124 3643 98
124 7435 239
124 7607 74
125 1142 212
125 1816 0
125 2584 268
125 3104 45
125 5847 41
125 6809 95
125 6878 90
125 6990 238
125 7905 207
126 1203 38
126 1757 231
126 6406 232
126 9505 268
127 968 155
127 3730 146
127 4127 11
127 4386 96
127 6338 137
127 8571 214
127 9964 140
128 2365 74
128 3227 8
128 4816 196
128 6211 207
128 6728 264
128 6953 37
128 7386 104
128 9155 137
129 2429 159
129 3284 191
129 4056 59
129 4640 260
130 1907 137
130 5539 121
130 5541 94
131 2841 59
131 3536 185
131 9682 106
132 7395 181
132 8945 193
133 1067 214
133 2407 79
133 2490 47
133 7017 198
133 8936 186
133 9554 293
134 222 233
134 1401 78
134 5873 23
134 7131 237
134 7553 33
135 1239 186
135 1906 135
135 2610 264
135 3417 233
135 4345 239
135 5447 147
135 7709 78
135 8436 138
136 1942 156
136 2255 24
136 2576 249
136 3351 287
136 4680 198
136 5697 166
136 9053 263
136 9913 224
137 2255 197
137 2797 188
137 4612 34
137 4910 16
137 7556 53
138 1482 98
138 1711 129
138 3310 267
138 4463 93
138 5549 99
138 5713 231
138 9553 182
139 5019 177
139 5232 124
139 5317 165
139 7898 173
140 3633 27
140 6520 96
141 2647 131
141 3567 82
141 5874 227
141 6709 36
141 7766 137
141 8001 64
142 1097 241
142 1106 97
142 2509 18
142 3844 216
142 5031 190
142 5075 246
142 5712 58
142 7507 295
142 8842 160
143 59 219
144 759 240
144 1406 225
144 4624 140
144 5066 182
144 6561 280
144 6847 194
145 310 34
145 1370 13
145 2562 195
145 4604 30
146 1946 49
146 4074 13
146 5867 96
146 5908 279
146 7328 155
146 7711 144
147 5558 51
147 6903 214
147 8022 228
147 8653 141
148 194 8
148 1567 51
148 4412 292
148 9692 157
149 759 230
149 1784 50
149 4108 175
149 4168 138
149 8889 278
149 8922 90
150 79 255
150 1435 42
150 2114 113
150 2675 215
150 8582 3
150 9086 165
151 759 245
151 2491 206
151 7185 52
151 8740 181
152 3070 255
152 3828 171
152 4840 84
152 7712 99
152 9490 14
153 533 153
153 3322 136
153 3883 148
153 8501 248
153 9730 90
154 1045 137
154 2046 224
154 6110 96
154 6685 250
155 624 41
155 3158 181
155 7760 246
156 34 105
156 3901 286
156 4707 212
156 6671 137
156 8456 170
156 9376 216
157 1013 261
157 1120 185
157 1226 111
157 1323 203
157 1873 175
157 3319 108
157 7901 240
157 9196 218
158 198 57
158 4347 173
158 6777 147
158 7107 187
159 1789 186
159 1833 170
159 6762 285
160 184 111
160 3013 294
160 3665 86
160 5503 284
160 6755 74
161 2324 71
161 4118 29
161 5806 143
161 8742 145
162 841 15
162 1134 3
162 2771 237
162 7634 275
162 7670 235
163 1448 96
163 6400 285
163 7228 190
163 8204 42
164 2688 203
164 3749 55
164 8675 269
164 8734 135
165 3834 197
165 5074 262
165 6545 227
165 6960 243
166 631 274
166 2136 200
166 6848 133
166 9673 217
167 3967 85
167 5621 138
167 7046 270
168 159 160
168 651 21
168 1746 53
168 4141 162
168 4968 268
168 5055 91
169 223 244
170 320 163
170 472 295
170 1841 157
170 2708 82
170 4336 126
170 4701 299
170 5311 154
170 7617 208
170 8494 116
170 9677 171
171 5272 237
171 5851 95
171 6040 158
172 174 115
172 633 194
172 1769 109
172 3162 239
172 4682 161
172 6721 46
172 7154 95
173 1988 199
173 3226 20
173 8225 168
173 8424 164
174 10 216
174 2760 92
174 3116 286
175 581 87
175 737 42
175 1015 0
175 1459 125
175 1476 282
175 1539 290
175 1730 26
175 4098 194
175 5550 32
175 6257 282
175 6354 48
175 9378 228
176 7642 98
177 2625 115
177 4958 41
177 7187 243
177 7349 102
178 343 218
178 2160 227
178 2573 117
178 3579 158
178 3580 37
178 3874 97
178 5617 271
178 6009 56
178 6875 166
179 455 261
179 1703 252
179 2203 110
179 3851 168
179 7141 44
180 3508 108
180 4406 251
180 6720 127
181 2212 50
181 2932 174
181 6196 136
181 6330 210
181 9383 97
182 240 200
182 1218 155
182 2716 152
182 2803 72
182 4390 267
183 1135 228
183 1347 23
183 2605 146
183 4591 0
183 4798 292
183 7543 157
183 8553 228
183 8648 296
183 9085 91
184 2155 274
184 3459 272
184 3929 248
184 5745 214
184 8121 206
184 9791 13
185 1097 159
185 2833 59
185 3757 236
185 5516 108
185 5705 173
185 6447 288
185 7277 215
186 1995 24
186 2119 125
186 2317 167
186 3297 128
186 3528 33
186 5524 109
186 8363 120
186 8419 184
186 9583 236
187 1974 35
187 8146 69
188 4945 296
188 6343 125
188 8198 194
189 3048 212
189 6100 12
189 9372 219
189 9433 182
189 9522 119
190 4427 46
190 8830 17
190 9929 104
191 6280 189
191 8275 218
191 8658 122
191 9198 296
191 9715 9
192 2076 233
192 4343 42
192 7350 270
192 8281 39
193 8 254
193 1620 197
193 2539 196
193 3195 297
193 7668 77
193 7826 4
194 533 107
194 4476 160
194 6056 198
195 1219 84
195 1977 43
195 2427 59
195 2525 64
195 3685 59
195 5887 127
195 6231 113
195 9971 207
196 1169 218
196 1454 115
196 2486 125
196 3390 87
196 4939 299
196 5206 279
196 5999 225
196 7055 96
197 1288 257
197 1424 89
197 6414 37
197 6498 277
197 8280 151
198 579 271
198 673 42
198 2259 58
198 2374 208
198 3127 225
198 3573 136
198 5296 108
198 6920 109
199 991 127
199 5813 20
199 9341 151
200 489 291
200 8858 95
201 3063 154
201 5036 168
201 5671 96
201 6052 76
202 3625 77
202 6412 199
202 7052 62
202 9615 289
203 4145 107
203 4681 223
203 8002 289
203 8064 30
203 8681 188
203 9211 150
204 853 117
204 920 103
204 2233 93
204 7842 173
204 9722 126
204 9987 136
205 537 78
205 4166 177
205 4624 297
206 1745 121
206 3617 32
206 4762 252
206 6868 181
207 1270 66
207 2212 297
208 2382 130
208 6477 203
208 8592 183
209 8853 31
210 1852 49
210 5167 216
210 5243 108
210 6216 266
211 539 63
211 736 82
211 2337 196
211 5965 28
211 6025 218
211 7583 28
211 8335 134
212 418 278
212 1946 109
212 2206 265
212 2851 1
212 3388 264
212 5206 36
212 6065 19
212 6643 269
212 9288 182
213 2240 171
213 3594 107
213 5066 175
213 8472 61
214 191 122
214 767 40
214 2798 277
214 3150 250
214 6005 172
214 7400 127
215 1802 238
215 2999 167
215 4022 187
215 6499 93
215 7139 28
215 7691 279
215 7777 17
215 8124 168
215 9423 70
216 158 227
216 628 147
216 3543 250
216 6605 236
216 7079 212
216 9110 79
217 1404 65
217 4377 230
217 4720 25
217 7006 145
217 7187 10
218 15 257
218 757 141
218 4271 271
218 8723 3
218 9032 45
219 350 297
219 1038 293
219 1479 217
219 1524 249
219 2880 288
219 6476 287
219 7844 134
219 8196 286
220 809 240
220 1891 23
220 2959 79
220 3733 247
220 6775 27
220 9815 275
221 788 158
221 1571 142
221 3534 24
221 3964 181
221 5691 60
221 5798 130
221 6395 36
222 2402 173
222 7129 61
222 8460 71
222 9256 20
222 9351 138
223 1271 297
223 2712 86
223 3782 34
223 6844 268
224 4116 122
224 8672 11
225 2025 293
225 2509 25
225 4369 253
225 4811 294
225 5961 249
226 758 296
226 1566 243
226 3379 233
226 5502 40
226 7954 15
226 9357 297
227 144 24
227 4940 140
227 9924 264
228 4603 183
228 5722 268
228 5804 90
229 281 22
229 425 230
229 1519 237
229 1828 197
229 6047 266
229 9298 256
230 1143 82
230 2712 11
